layer,head,program_idx,iou_score
16,3,55,0.968
16,4,33,0.743
16,5,55,0.936
16,6,68,0.678
16,7,68,0.692
16,8,68,0.561
16,9,33,0.626
16,10,55,0.867
16,11,68,0.695
16,12,55,0.916
16,13,55,0.888
16,14,55,0.858
16,15,55,0.915
16,16,55,0.914
16,17,55,0.905
16,18,68,0.693
16,19,33,0.533
16,20,68,0.597
16,21,68,0.539
16,22,55,0.864
16,23,55,0.799
17,0,55,0.796
17,1,55,0.943
17,2,68,0.798
17,3,55,0.956
17,4,55,0.891
17,5,55,0.68
17,6,33,0.498
17,7,33,0.656
17,8,33,0.567
17,9,55,0.916
17,10,55,0.884
17,11,55,0.923
17,12,55,0.805
17,13,55,0.812
17,14,55,0.81
17,15,68,0.725
17,16,68,0.783
17,17,68,0.721
17,18,55,0.915
17,19,55,0.873
17,20,55,0.87
17,21,55,0.883
17,22,55,0.776
17,23,55,0.876
18,0,33,0.643
18,1,68,0.819
18,2,55,0.969
18,3,55,0.904
18,4,55,0.952
18,5,55,0.823
18,6,33,0.643
18,7,68,0.7
18,8,33,0.682
18,9,68,0.716
18,10,55,0.863
18,11,55,0.868
18,12,55,0.934
18,13,55,0.882
18,14,55,0.904
18,15,55,0.971
18,16,55,0.723
18,17,68,0.622
18,18,55,0.92
18,19,55,0.868
18,20,68,0.637
18,21,68,0.632
18,22,55,0.814
18,23,55,0.758
19,0,55,0.766
19,1,33,0.589
19,2,33,0.681
19,3,33,0.643
19,4,33,0.689
19,5,68,0.671
19,6,33,0.672
19,7,33,0.451
19,8,55,0.805
19,9,68,0.652
19,10,68,0.77
19,11,68,0.725
19,12,55,0.92
19,13,33,0.518
19,14,55,0.908
19,15,55,0.957
19,16,55,0.928
19,17,55,0.896
19,18,55,0.834
19,19,68,0.678
19,20,68,0.708
19,21,55,0.963
19,22,55,0.97
19,23,55,0.959
20,0,33,0.704
20,1,55,0.927
20,2,55,0.932
20,3,55,0.875
20,4,55,0.935
20,5,55,0.894
20,6,33,0.691
20,7,68,0.784
20,8,55,0.83
20,9,55,0.953
20,10,55,0.962
20,11,55,0.942
20,12,68,0.706
20,13,68,0.653
20,14,55,0.843
20,15,55,0.781
20,16,55,0.916
20,17,68,0.785
20,18,68,0.795
20,19,55,0.809
20,20,68,0.799
20,21,68,0.671
20,22,68,0.77
20,23,68,0.728
21,0,55,0.911
21,1,55,0.879
21,2,55,0.835
21,3,23,0.966
21,4,27,0.974
21,5,55,0.924
21,6,55,0.925
21,7,55,0.947
21,8,55,0.954
21,9,68,0.656
21,10,68,0.751
21,11,68,0.651
21,12,55,0.968
21,13,55,0.968
21,14,55,0.81
21,15,55,0.968
21,16,55,0.831
21,17,55,0.983
21,18,55,0.957
21,19,55,0.974
21,20,55,0.937
21,21,33,0.736
21,22,68,0.774
21,23,68,0.72
22,0,55,0.937
22,1,55,0.779
22,2,55,0.946
22,3,23,0.986
22,4,23,0.979
22,5,23,0.983
22,6,55,0.875
22,7,55,0.948
22,8,23,0.951
22,9,23,0.984
22,10,23,0.987
22,11,23,0.985
22,12,55,0.847
22,13,68,0.736
22,14,33,0.627
22,15,68,0.88
22,16,68,0.782
22,17,68,0.853
22,18,55,0.918
22,19,55,0.9
22,20,55,0.885
22,21,55,0.913
22,22,23,0.946
22,23,55,0.875
23,0,33,0.687
23,1,68,0.783
23,2,33,0.749
23,3,55,0.891
23,4,55,0.906
23,5,55,0.952
23,6,55,0.84
23,7,55,0.895
23,8,33,0.563
23,9,55,0.978
23,10,55,0.929
23,11,55,0.983
23,12,55,0.956
23,13,55,0.876
23,14,33,0.605
23,15,33,0.722
23,16,68,0.717
23,17,33,0.67
23,18,55,0.892
23,19,55,0.95
23,20,68,0.681
23,21,55,0.785
23,22,55,0.946
23,23,68,0.697
24,0,55,0.905
24,1,55,0.812
24,2,55,0.761
24,3,55,0.96
24,4,55,0.971
24,5,55,0.949
24,6,33,0.63
24,7,68,0.743
24,8,33,0.579
24,9,55,0.739
24,10,33,0.487
24,11,68,0.703
24,12,33,0.665
24,13,55,0.925
24,14,55,0.946
24,15,55,0.951
24,16,55,0.747
24,17,55,0.965
24,18,55,0.906
24,19,55,0.951
24,20,55,0.958
24,21,68,0.802
24,22,55,0.834
24,23,55,0.823
25,0,55,0.885
25,1,55,0.933
25,2,55,0.919
25,3,55,0.939
25,4,55,0.93
25,5,55,0.926
25,6,33,0.723
25,7,33,0.566
25,8,68,0.731
25,9,55,0.928
25,10,55,0.916
25,11,55,0.941
25,12,55,0.914
25,13,55,0.917
25,14,55,0.939
25,15,55,0.965
25,16,55,0.929
25,17,55,0.937
25,18,55,0.744
25,19,33,0.841
25,20,68,0.696
25,21,33,0.505
25,22,55,0.908
25,23,33,0.615
26,0,33,0.696
26,1,33,0.718
26,2,68,0.684
26,3,68,0.807
26,4,68,0.834
26,5,55,0.934
26,6,68,0.784
26,7,33,0.613
26,8,55,0.931
26,9,55,0.939
26,10,55,0.908
26,11,55,0.949
26,12,70,0.464
26,13,70,0.375
26,14,70,0.407
26,15,55,0.924
26,16,55,0.9
26,17,68,0.717
26,18,17,0.56
26,19,33,0.688
26,20,33,0.677
26,21,55,0.945
26,22,55,0.95
26,23,55,0.729
27,0,33,0.477
27,1,68,0.85
27,2,33,0.795
27,3,68,0.818
27,4,33,0.682
27,5,33,0.47
27,6,33,0.752
27,7,33,0.784
27,8,68,0.835
27,9,70,0.385
27,10,68,0.819
27,11,48,0.85
27,12,55,0.934
27,13,55,0.837
27,14,55,0.834
27,15,55,0.943
27,16,55,0.926
27,17,55,0.733
27,18,33,0.717
27,19,33,0.606
27,20,33,0.707
27,21,33,0.502
27,22,68,0.777
27,23,68,0.748
