layer,head,program_idx,iou_score
5,8,45,0.899
5,9,45,0.924
5,10,63,0.883
5,11,63,0.888
5,12,83,0.782
5,13,51,0.949
5,14,45,0.942
5,15,45,0.934
5,16,51,0.942
5,17,45,0.886
5,18,45,0.866
5,19,63,0.853
5,20,51,0.933
5,21,63,0.844
5,22,45,0.921
5,23,83,0.86
5,24,83,0.793
5,25,45,0.885
5,26,63,0.867
5,27,79,0.849
5,28,63,0.878
5,29,45,0.877
5,30,83,0.75
5,31,63,0.849
6,0,45,0.879
6,1,42,0.721
6,2,83,0.813
6,3,63,0.909
6,4,42,0.772
6,5,42,0.7
6,6,65,0.79
6,7,83,0.858
6,8,42,0.793
6,9,63,0.857
6,10,79,0.893
6,11,45,0.933
6,12,42,0.813
6,13,63,0.916
6,14,42,0.717
6,15,51,0.93
6,16,45,0.853
6,17,45,0.9
6,18,83,0.827
6,19,65,0.723
6,20,70,0.83
6,21,83,0.8
6,22,63,0.866
6,23,78,0.781
6,24,85,0.867
6,25,48,0.971
6,26,65,0.708
6,27,42,0.739
6,28,65,0.721
6,29,79,0.844
6,30,83,0.781
6,31,42,0.778
7,0,63,0.924
7,1,42,0.806
7,2,42,0.742
7,3,63,0.891
7,4,42,0.838
7,5,35,0.823
7,6,73,0.654
7,7,83,0.799
7,8,42,0.725
7,9,42,0.775
7,10,83,0.805
7,11,42,0.754
7,12,42,0.854
7,13,83,0.72
7,14,45,0.899
7,15,83,0.863
7,16,83,0.693
7,17,55,0.851
7,18,35,0.843
7,19,69,0.619
7,20,77,0.704
7,21,63,0.876
7,22,83,0.883
7,23,42,0.685
7,24,51,0.925
7,25,63,0.897
7,26,83,0.775
7,27,42,0.811
7,28,42,0.717
7,29,69,0.647
7,30,35,0.819
7,31,42,0.74
8,0,79,0.795
8,1,42,0.762
8,2,80,0.674
8,3,42,0.727
8,4,42,0.703
8,5,63,0.752
8,6,42,0.652
8,7,45,0.84
8,8,44,0.944
8,9,48,0.985
8,10,69,0.67
8,11,2,0.998
8,12,47,0.968
8,13,89,0.908
8,14,48,0.948
8,15,48,0.913
8,16,63,0.874
8,17,45,0.929
8,18,51,0.915
8,19,63,0.941
8,20,63,0.875
8,21,51,0.94
8,22,83,0.833
8,23,45,0.877
8,24,63,0.858
8,25,51,0.946
8,26,63,0.903
8,27,45,0.941
8,28,45,0.873
8,29,83,0.816
8,30,42,0.79
8,31,83,0.743
9,0,48,0.951
9,1,46,0.796
9,2,42,0.759
9,3,42,0.724
9,4,65,0.69
9,5,69,0.716
9,6,45,0.853
9,7,83,0.826
9,8,79,0.789
9,9,65,0.731
9,10,42,0.841
9,11,69,0.716
9,12,79,0.819
9,13,77,0.676
9,14,42,0.821
9,15,35,0.691
9,16,79,0.809
9,17,65,0.711
9,18,65,0.701
9,19,83,0.771
9,20,42,0.64
9,21,35,0.742
9,22,83,0.735
9,23,35,0.698
9,24,65,0.584
9,25,63,0.869
9,26,35,0.813
9,27,83,0.717
9,28,83,0.806
9,29,42,0.582
9,30,83,0.757
9,31,63,0.847
10,0,80,0.723
10,1,42,0.749
10,2,65,0.595
10,3,70,0.674
10,4,65,0.693
10,5,42,0.681
10,6,83,0.795
10,7,42,0.677
10,8,83,0.83
10,9,83,0.719
10,10,83,0.762
10,11,83,0.828
10,12,63,0.857
10,13,83,0.89
10,14,63,0.861
10,15,35,0.776
10,16,51,0.919
10,17,83,0.723
10,18,79,0.737
10,19,42,0.804
10,20,42,0.683
10,21,42,0.793
10,22,83,0.757
10,23,42,0.741
10,24,79,0.883
10,25,42,0.649
10,26,63,0.892
10,27,42,0.682
10,28,77,0.675
10,29,42,0.694
10,30,42,0.72
10,31,42,0.569
11,0,63,0.865
11,1,63,0.916
11,2,63,0.887
11,3,23,0.981
11,4,42,0.7
11,5,51,0.842
11,6,48,0.931
11,7,51,0.927
11,8,2,0.996
11,9,42,0.65
11,10,42,0.698
11,11,23,0.984
11,12,42,0.632
11,13,85,0.88
11,14,42,0.767
11,15,48,0.965
11,16,42,0.673
11,17,42,0.778
11,18,42,0.739
11,19,42,0.679
11,20,63,0.843
11,21,79,0.761
11,22,63,0.756
11,23,79,0.767
11,24,63,0.773
11,25,42,0.722
11,26,42,0.7
11,27,63,0.813
11,28,70,0.765
11,29,42,0.767
11,30,65,0.692
11,31,63,0.853
12,0,35,0.763
12,1,77,0.613
12,2,42,0.728
12,3,79,0.726
12,4,25,0.597
12,5,63,0.912
12,6,42,0.822
12,7,83,0.794
12,8,42,0.614
12,9,42,0.796
12,10,80,0.738
12,11,42,0.722
12,12,42,0.708
12,13,80,0.588
12,14,42,0.735
12,15,42,0.7
12,16,87,0.733
12,17,42,0.691
12,18,83,0.778
12,19,65,0.638
12,20,83,0.81
12,21,42,0.741
12,22,42,0.691
12,23,35,0.725
12,24,69,0.718
12,25,42,0.824
12,26,79,0.882
12,27,42,0.811
12,28,42,0.845
12,29,80,0.617
12,30,79,0.847
12,31,83,0.758
13,0,77,0.661
13,1,69,0.599
13,2,42,0.714
13,3,70,0.728
13,4,80,0.598
13,5,77,0.698
13,6,75,0.69
13,7,65,0.727
13,8,77,0.628
13,9,83,0.769
13,10,79,0.743
13,11,69,0.571
13,12,79,0.878
13,13,42,0.727
13,14,42,0.747
13,15,42,0.857
13,16,42,0.665
13,17,25,0.581
13,18,69,0.648
13,19,42,0.746
13,20,26,0.626
13,21,42,0.716
13,22,69,0.647
13,23,42,0.721
13,24,63,0.9
13,25,69,0.696
13,26,42,0.787
13,27,42,0.682
13,28,42,0.776
13,29,79,0.852
13,30,42,0.854
13,31,42,0.75
14,0,79,0.83
14,1,42,0.724
14,2,75,0.579
14,3,80,0.723
14,4,42,0.754
14,5,69,0.601
14,6,42,0.813
14,7,42,0.781
14,8,42,0.74
14,9,63,0.838
14,10,63,0.809
14,11,79,0.809
14,12,42,0.802
14,13,23,0.98
14,14,79,0.869
14,15,48,0.928
14,16,42,0.732
14,17,65,0.739
14,18,77,0.695
14,19,65,0.709
14,20,69,0.621
14,21,69,0.662
14,22,42,0.815
14,23,17,0.662
14,24,83,0.722
14,25,73,0.608
14,26,42,0.849
14,27,79,0.873
14,28,80,0.66
14,29,35,0.846
14,30,44,0.589
14,31,65,0.696
15,0,35,0.618
15,1,35,0.688
15,2,15,0.724
15,3,79,0.86
15,4,80,0.643
15,5,65,0.671
15,6,42,0.63
15,7,65,0.659
15,8,23,0.968
15,9,69,0.599
15,10,55,0.94
15,11,42,0.706
15,12,69,0.687
15,13,70,0.706
15,14,42,0.7
15,15,45,0.903
15,16,2,0.999
15,17,48,0.887
15,18,48,0.95
15,19,23,0.974
15,20,2,0.997
15,21,48,0.968
15,22,51,0.833
15,23,63,0.871
15,24,79,0.828
15,25,42,0.786
15,26,63,0.819
15,27,77,0.569
15,28,42,0.724
15,29,80,0.691
15,30,46,0.769
15,31,42,0.757
16,0,83,0.749
16,1,42,0.701
16,2,77,0.6
16,3,69,0.685
16,4,42,0.655
16,5,80,0.657
16,6,65,0.667
16,7,80,0.588
16,8,42,0.69
16,9,69,0.681
16,10,79,0.846
16,11,42,0.758
16,12,80,0.571
16,13,51,0.905
16,14,42,0.685
16,15,42,0.723
16,16,77,0.593
16,17,78,0.786
16,18,65,0.659
16,19,42,0.705
16,20,63,0.798
16,21,79,0.736
16,22,46,0.652
16,23,65,0.769
16,24,79,0.729
16,25,63,0.874
16,26,63,0.864
16,27,79,0.848
16,28,2,0.994
16,29,42,0.669
16,30,51,0.888
16,31,63,0.784
17,0,48,0.947
17,1,48,0.947
17,2,48,0.944
17,3,48,0.953
17,4,48,0.94
17,5,79,0.807
17,6,63,0.848
17,7,63,0.862
17,8,42,0.616
17,9,69,0.692
17,10,70,0.758
17,11,69,0.675
17,12,51,0.927
17,13,62,0.656
17,14,79,0.805
17,15,51,0.926
17,16,65,0.617
17,17,63,0.864
17,18,42,0.631
17,19,63,0.855
17,20,63,0.853
17,21,63,0.894
17,22,48,0.925
17,23,42,0.783
17,24,35,0.794
17,25,70,0.752
17,26,35,0.715
17,27,15,0.677
17,28,63,0.768
17,29,83,0.732
17,30,65,0.7
17,31,65,0.663
18,0,42,0.731
18,1,48,0.939
18,2,51,0.883
18,3,63,0.72
18,4,48,0.915
18,5,48,0.953
18,6,63,0.895
18,7,48,0.952
18,8,63,0.732
18,9,45,0.869
18,10,63,0.828
18,11,83,0.67
18,12,79,0.799
18,13,35,0.74
18,14,42,0.775
18,15,63,0.74
18,16,73,0.59
18,17,79,0.806
18,18,63,0.834
18,19,51,0.892
18,20,42,0.738
18,21,48,0.964
18,22,63,0.87
18,23,48,0.916
18,24,83,0.762
18,25,42,0.626
18,26,77,0.614
18,27,79,0.79
18,28,42,0.693
18,29,69,0.681
18,30,48,0.956
18,31,42,0.738
19,0,63,0.781
19,1,63,0.731
19,2,83,0.697
19,3,70,0.614
19,4,63,0.712
19,5,51,0.826
19,6,48,0.922
19,7,83,0.696
19,8,48,0.95
19,9,48,0.942
19,10,42,0.648
19,11,48,0.954
19,12,48,0.942
19,13,48,0.902
19,14,79,0.809
19,15,51,0.913
19,16,45,0.9
19,17,48,0.937
19,18,42,0.711
19,19,79,0.742
19,20,63,0.878
19,21,42,0.671
19,22,79,0.771
19,23,45,0.896
19,24,33,0.78
19,25,48,0.905
19,26,63,0.822
19,27,78,0.829
19,28,77,0.624
19,29,78,0.718
19,30,35,0.715
19,31,83,0.733
20,0,83,0.685
20,1,63,0.777
20,2,63,0.739
20,3,75,0.561
20,4,70,0.645
20,5,63,0.797
20,6,35,0.612
20,7,63,0.812
20,8,48,0.954
20,9,42,0.774
20,10,48,0.939
20,11,42,0.655
20,12,63,0.89
20,13,48,0.933
20,14,35,0.692
20,15,42,0.685
20,16,48,0.953
20,17,45,0.868
20,18,70,0.667
20,19,63,0.664
20,20,35,0.717
20,21,63,0.807
20,22,83,0.695
20,23,83,0.723
20,24,83,0.755
20,25,83,0.811
20,26,63,0.877
20,27,65,0.605
20,28,70,0.646
20,29,48,0.967
20,30,35,0.702
20,31,42,0.661
21,0,35,0.822
21,1,48,0.932
21,2,70,0.653
21,3,35,0.772
21,4,42,0.679
21,5,75,0.577
21,6,48,0.949
21,7,69,0.665
21,8,35,0.719
21,9,33,0.705
21,10,42,0.765
21,11,70,0.617
21,12,70,0.669
21,13,46,0.653
21,14,15,0.671
21,15,75,0.573
21,16,42,0.601
21,17,35,0.755
21,18,35,0.719
21,19,35,0.715
21,20,35,0.704
21,21,83,0.811
21,22,35,0.591
21,23,51,0.909
21,24,83,0.756
21,25,48,0.947
21,26,42,0.601
21,27,42,0.637
21,28,73,0.565
21,29,63,0.867
21,30,42,0.622
21,31,63,0.697
