layer,head,program_idx,sentence_idx,iou_score
16,16,47,1,0.198
16,16,47,2,0.177
16,16,47,3,0.186
16,16,47,4,0.15
16,17,47,0,0.13
16,17,47,1,0.12
16,17,47,2,0.123
16,17,47,3,0.114
16,17,47,4,0.105
16,18,47,0,0.205
16,18,47,1,0.154
16,18,47,2,0.15
16,18,47,3,0.148
16,18,47,4,0.177
16,19,47,0,0.146
16,19,47,1,0.149
16,19,47,2,0.128
16,19,47,3,0.163
16,19,47,4,0.151
16,20,47,0,0.167
16,20,47,1,0.124
16,20,47,2,0.152
16,20,47,3,0.089
16,20,47,4,0.118
16,21,47,0,0.183
16,21,47,1,0.153
16,21,47,2,0.142
16,21,47,3,0.134
16,21,47,4,0.12
16,22,47,0,0.216
16,22,47,1,0.212
16,22,47,2,0.169
16,22,47,3,0.167
16,22,47,4,0.221
16,23,47,0,0.118
16,23,47,1,0.111
16,23,47,2,0.118
16,23,47,3,0.104
16,23,47,4,0.103
16,24,47,0,0.114
16,24,47,1,0.137
16,24,47,2,0.113
16,24,47,3,0.145
16,24,47,4,0.127
16,25,47,0,0.097
16,25,47,1,0.128
16,25,47,2,0.1
16,25,47,3,0.114
16,25,47,4,0.093
16,26,47,0,0.145
16,26,47,1,0.115
16,26,47,2,0.118
16,26,47,3,0.138
16,26,47,4,0.112
16,27,47,0,0.118
16,27,47,1,0.141
16,27,47,2,0.109
16,27,47,3,0.126
16,27,47,4,0.11
16,28,47,0,0.096
16,28,47,1,0.087
16,28,47,2,0.092
16,28,47,3,0.08
16,28,47,4,0.075
16,29,47,0,0.197
16,29,47,1,0.183
16,29,47,2,0.18
16,29,47,3,0.169
16,29,47,4,0.16
16,30,47,0,0.107
16,30,47,1,0.118
16,30,47,2,0.095
16,30,47,3,0.103
16,30,47,4,0.097
16,31,47,0,0.116
16,31,47,1,0.116
16,31,47,2,0.099
16,31,47,3,0.135
16,31,47,4,0.114
17,0,47,0,0.099
17,0,47,1,0.098
17,0,47,2,0.106
17,0,47,3,0.082
17,0,47,4,0.076
17,1,47,0,0.101
17,1,47,1,0.09
17,1,47,2,0.104
17,1,47,3,0.082
17,1,47,4,0.078
17,2,47,0,0.105
17,2,47,1,0.098
17,2,47,2,0.098
17,2,47,3,0.082
17,2,47,4,0.079
17,3,47,0,0.099
17,3,47,1,0.091
17,3,47,2,0.096
17,3,47,3,0.083
17,3,47,4,0.078
17,4,47,0,0.097
17,4,47,1,0.093
17,4,47,2,0.106
17,4,47,3,0.084
17,4,47,4,0.079
17,5,47,0,0.165
17,5,47,1,0.13
17,5,47,2,0.114
17,5,47,3,0.128
17,5,47,4,0.135
17,6,47,0,0.168
17,6,47,1,0.114
17,6,47,2,0.119
17,6,47,3,0.101
17,6,47,4,0.154
17,7,47,0,0.12
17,7,47,1,0.111
17,7,47,2,0.109
17,7,47,3,0.112
17,7,47,4,0.099
17,8,47,0,0.181
17,8,47,1,0.186
17,8,47,2,0.172
17,8,47,3,0.231
17,8,47,4,0.147
17,9,47,0,0.211
17,9,47,1,0.201
17,9,47,2,0.198
17,9,47,3,0.186
17,9,47,4,0.19
17,10,47,0,0.144
17,10,47,1,0.123
17,10,47,2,0.141
17,10,47,3,0.13
17,10,47,4,0.128
17,11,47,0,0.24
17,11,47,1,0.225
17,11,47,2,0.222
17,11,47,3,0.242
17,11,47,4,0.22
17,12,47,0,0.106
17,12,47,1,0.087
17,12,47,2,0.106
17,12,47,3,0.099
17,12,47,4,0.077
17,13,47,0,0.185
17,13,47,1,0.17
17,13,47,2,0.176
17,13,47,3,0.161
17,13,47,4,0.132
17,14,47,0,0.145
17,14,47,1,0.137
17,14,47,2,0.142
17,14,47,3,0.131
17,14,47,4,0.112
17,15,47,0,0.098
17,15,47,1,0.091
17,15,47,2,0.103
17,15,47,3,0.095
17,15,47,4,0.073
17,16,47,0,0.175
17,16,47,1,0.188
17,16,47,2,0.183
17,16,47,3,0.166
17,16,47,4,0.142
17,17,47,0,0.137
17,17,47,1,0.132
17,17,47,2,0.113
17,17,47,3,0.121
17,17,47,4,0.093
17,18,47,0,0.222
17,18,47,1,0.168
17,18,47,2,0.2
17,18,47,3,0.162
17,18,47,4,0.196
17,19,47,0,0.139
17,19,47,1,0.114
17,19,47,2,0.123
17,19,47,3,0.093
17,19,47,4,0.105
17,20,47,0,0.157
17,20,47,1,0.115
17,20,47,2,0.154
17,20,47,3,0.084
17,20,47,4,0.125
17,21,47,0,0.111
17,21,47,1,0.103
17,21,47,2,0.123
17,21,47,3,0.107
17,21,47,4,0.093
17,22,47,0,0.121
17,22,47,1,0.095
17,22,47,2,0.106
17,22,47,3,0.096
17,22,47,4,0.089
17,23,47,0,0.19
17,23,47,1,0.168
17,23,47,2,0.16
17,23,47,3,0.168
17,23,47,4,0.154
17,24,47,0,0.158
17,24,47,1,0.145
17,24,47,2,0.142
17,24,47,3,0.124
17,24,47,4,0.128
17,25,47,0,0.15
17,25,47,1,0.143
17,25,47,2,0.153
17,25,47,3,0.134
17,25,47,4,0.125
17,26,47,0,0.149
17,26,47,1,0.149
17,26,47,2,0.145
17,26,47,3,0.138
17,26,47,4,0.146
17,27,47,0,0.156
17,27,47,1,0.151
17,27,47,2,0.154
17,27,47,3,0.15
17,27,47,4,0.143
17,28,47,0,0.153
17,28,47,1,0.145
17,28,47,2,0.137
17,28,47,3,0.124
17,28,47,4,0.116
17,29,47,0,0.157
17,29,47,1,0.154
17,29,47,2,0.133
17,29,47,3,0.122
17,29,47,4,0.126
17,30,47,0,0.168
17,30,47,1,0.167
17,30,47,2,0.15
17,30,47,3,0.139
17,30,47,4,0.155
17,31,47,0,0.155
17,31,47,1,0.142
17,31,47,2,0.138
17,31,47,3,0.128
17,31,47,4,0.139
18,0,47,0,0.181
18,0,47,1,0.172
18,0,47,2,0.162
18,0,47,3,0.154
18,0,47,4,0.149
18,1,47,0,0.093
18,1,47,1,0.103
18,1,47,2,0.098
18,1,47,3,0.09
18,1,47,4,0.077
18,2,47,0,0.11
18,2,47,1,0.121
18,2,47,2,0.109
18,2,47,3,0.106
18,2,47,4,0.106
18,3,47,0,0.149
18,3,47,1,0.162
18,3,47,2,0.152
18,3,47,3,0.141
18,3,47,4,0.095
18,4,47,0,0.098
18,4,47,1,0.112
18,4,47,2,0.103
18,4,47,3,0.095
18,4,47,4,0.079
18,5,47,0,0.088
18,5,47,1,0.09
18,5,47,2,0.101
18,5,47,3,0.086
18,5,47,4,0.073
18,6,47,0,0.108
18,6,47,1,0.108
18,6,47,2,0.115
18,6,47,3,0.097
18,6,47,4,0.099
18,7,47,0,0.095
18,7,47,1,0.102
18,7,47,2,0.099
18,7,47,3,0.085
18,7,47,4,0.075
18,8,47,0,0.129
18,8,47,1,0.127
18,8,47,2,0.134
18,8,47,3,0.127
18,8,47,4,0.113
18,9,47,0,0.095
18,9,47,1,0.13
18,9,47,2,0.104
18,9,47,3,0.108
18,9,47,4,0.081
18,10,47,0,0.184
18,10,47,1,0.138
18,10,47,2,0.142
18,10,47,3,0.104
18,10,47,4,0.127
18,11,47,0,0.193
18,11,47,1,0.188
18,11,47,2,0.166
18,11,47,3,0.166
18,11,47,4,0.139
18,12,47,0,0.129
18,12,47,1,0.151
18,12,47,2,0.114
18,12,47,3,0.133
18,12,47,4,0.125
18,13,47,0,0.175
18,13,47,1,0.164
18,13,47,2,0.164
18,13,47,3,0.161
18,13,47,4,0.145
18,14,47,0,0.183
18,14,47,1,0.188
18,14,47,2,0.166
18,14,47,3,0.163
18,14,47,4,0.132
18,15,47,0,0.143
18,15,47,1,0.169
18,15,47,2,0.147
18,15,47,3,0.147
18,15,47,4,0.108
18,16,47,0,0.265
18,16,47,1,0.267
18,16,47,2,0.202
18,16,47,3,0.266
18,16,47,4,0.187
18,17,47,0,0.171
18,17,47,1,0.16
18,17,47,2,0.141
18,17,47,3,0.139
18,17,47,4,0.134
18,18,47,0,0.113
18,18,47,1,0.112
18,18,47,2,0.106
18,18,47,3,0.105
18,18,47,4,0.083
18,19,47,0,0.094
18,19,47,1,0.097
18,19,47,2,0.098
18,19,47,3,0.086
18,19,47,4,0.077
18,20,47,0,0.17
18,20,47,1,0.186
18,20,47,2,0.161
18,20,47,3,0.176
18,20,47,4,0.136
18,21,47,0,0.101
18,21,47,1,0.092
18,21,47,2,0.097
18,21,47,3,0.083
18,21,47,4,0.077
18,22,47,0,0.133
18,22,47,1,0.119
18,22,47,2,0.126
18,22,47,3,0.117
18,22,47,4,0.13
18,23,47,0,0.101
18,23,47,1,0.113
18,23,47,2,0.097
18,23,47,3,0.102
18,23,47,4,0.085
18,24,47,0,0.136
18,24,47,1,0.152
18,24,47,2,0.145
18,24,47,3,0.123
18,24,47,4,0.154
18,25,47,0,0.178
18,25,47,1,0.209
18,25,47,2,0.157
18,25,47,3,0.135
18,25,47,4,0.159
18,26,47,0,0.182
18,26,47,1,0.186
18,26,47,2,0.181
18,26,47,3,0.158
18,26,47,4,0.189
18,27,47,0,0.156
18,27,47,1,0.151
18,27,47,2,0.134
18,27,47,3,0.152
18,27,47,4,0.143
18,28,47,0,0.176
18,28,47,1,0.181
18,28,47,2,0.174
18,28,47,3,0.139
18,28,47,4,0.175
18,29,47,0,0.222
18,29,47,1,0.207
18,29,47,2,0.198
18,29,47,3,0.174
18,29,47,4,0.181
18,30,47,0,0.103
18,30,47,1,0.1
18,30,47,2,0.108
18,30,47,3,0.092
18,30,47,4,0.074
18,31,47,0,0.184
18,31,47,1,0.192
18,31,47,2,0.158
18,31,47,3,0.158
18,31,47,4,0.157
19,0,47,0,0.173
19,0,47,1,0.148
19,0,47,2,0.134
19,0,47,3,0.135
19,0,47,4,0.112
19,1,47,0,0.161
19,1,47,1,0.138
19,1,47,2,0.143
19,1,47,3,0.128
19,1,47,4,0.114
19,2,47,0,0.19
19,2,47,1,0.17
19,2,47,2,0.17
19,2,47,3,0.152
19,2,47,4,0.131
19,3,47,0,0.203
19,3,47,1,0.213
19,3,47,2,0.193
19,3,47,3,0.193
19,3,47,4,0.178
19,4,47,0,0.135
19,4,47,1,0.14
19,4,47,2,0.121
19,4,47,3,0.155
19,4,47,4,0.112
19,5,47,0,0.122
19,5,47,1,0.118
19,5,47,2,0.117
19,5,47,3,0.135
19,5,47,4,0.096
19,6,47,0,0.101
19,6,47,1,0.108
19,6,47,2,0.097
19,6,47,3,0.096
19,6,47,4,0.089
19,7,47,0,0.134
19,7,47,1,0.16
19,7,47,2,0.142
19,7,47,3,0.15
19,7,47,4,0.119
19,8,47,0,0.104
19,8,47,1,0.098
19,8,47,2,0.101
19,8,47,3,0.092
19,8,47,4,0.086
19,9,47,0,0.102
19,9,47,1,0.099
19,9,47,2,0.103
19,9,47,3,0.086
19,9,47,4,0.086
19,10,47,0,0.184
19,10,47,1,0.177
19,10,47,2,0.173
19,10,47,3,0.174
19,10,47,4,0.143
19,11,47,0,0.099
19,11,47,1,0.1
19,11,47,2,0.101
19,11,47,3,0.085
19,11,47,4,0.083
19,12,47,0,0.111
19,12,47,1,0.104
19,12,47,2,0.103
19,12,47,3,0.09
19,12,47,4,0.09
19,13,47,0,0.098
19,13,47,1,0.103
19,13,47,2,0.107
19,13,47,3,0.094
19,13,47,4,0.074
19,14,47,0,0.173
19,14,47,1,0.141
19,14,47,2,0.133
19,14,47,3,0.119
19,14,47,4,0.129
19,15,47,0,0.104
19,15,47,1,0.113
19,15,47,2,0.107
19,15,47,3,0.099
19,15,47,4,0.083
19,16,47,0,0.102
19,16,47,1,0.113
19,16,47,2,0.105
19,16,47,3,0.09
19,16,47,4,0.092
19,17,47,0,0.092
19,17,47,1,0.101
19,17,47,2,0.095
19,17,47,3,0.091
19,17,47,4,0.074
19,18,47,0,0.149
19,18,47,1,0.169
19,18,47,2,0.169
19,18,47,3,0.148
19,18,47,4,0.142
19,19,47,0,0.131
19,19,47,1,0.139
19,19,47,2,0.125
19,19,47,3,0.172
19,19,47,4,0.125
19,20,47,0,0.132
19,20,47,1,0.126
19,20,47,2,0.116
19,20,47,3,0.1
19,20,47,4,0.087
19,21,47,0,0.176
19,21,47,1,0.168
19,21,47,2,0.16
19,21,47,3,0.17
19,21,47,4,0.144
19,22,47,0,0.148
19,22,47,1,0.161
19,22,47,2,0.145
19,22,47,3,0.145
19,22,47,4,0.102
19,23,47,0,0.103
19,23,47,1,0.123
19,23,47,2,0.119
19,23,47,3,0.094
19,23,47,4,0.081
19,24,47,0,0.14
19,24,47,1,0.127
19,24,47,2,0.137
19,24,47,3,0.116
19,24,47,4,0.116
19,25,47,0,0.107
19,25,47,1,0.106
19,25,47,2,0.098
19,25,47,3,0.101
19,25,47,4,0.084
19,26,47,0,0.135
19,26,47,1,0.134
19,26,47,2,0.133
19,26,47,3,0.114
19,26,47,4,0.108
19,27,47,0,0.13
19,27,47,1,0.124
19,27,47,2,0.13
19,27,47,3,0.116
19,27,47,4,0.114
19,28,47,0,0.165
19,28,47,1,0.166
19,28,47,2,0.158
19,28,47,3,0.162
19,28,47,4,0.146
19,29,47,0,0.137
19,29,47,1,0.126
19,29,47,2,0.134
19,29,47,3,0.127
19,29,47,4,0.118
19,30,47,0,0.115
19,30,47,1,0.119
19,30,47,2,0.12
19,30,47,3,0.108
19,30,47,4,0.113
19,31,47,0,0.147
19,31,47,1,0.131
19,31,47,2,0.145
19,31,47,3,0.125
19,31,47,4,0.121
20,0,47,0,0.183
20,0,47,1,0.188
20,0,47,2,0.175
20,0,47,3,0.187
20,0,47,4,0.14
20,1,47,0,0.157
20,1,47,1,0.154
20,1,47,2,0.135
20,1,47,3,0.143
20,1,47,4,0.13
20,2,47,0,0.133
20,2,47,1,0.142
20,2,47,2,0.129
20,2,47,3,0.134
20,2,47,4,0.119
20,3,47,0,0.154
20,3,47,1,0.162
20,3,47,2,0.149
20,3,47,3,0.149
20,3,47,4,0.132
20,4,47,0,0.174
20,4,47,1,0.185
20,4,47,2,0.156
20,4,47,3,0.166
20,4,47,4,0.141
20,5,47,0,0.154
20,5,47,1,0.134
20,5,47,2,0.149
20,5,47,3,0.121
20,5,47,4,0.122
20,6,47,0,0.15
20,6,47,1,0.152
20,6,47,2,0.132
20,6,47,3,0.146
20,6,47,4,0.137
20,7,47,0,0.16
20,7,47,1,0.165
20,7,47,2,0.147
20,7,47,3,0.135
20,7,47,4,0.125
20,8,47,0,0.098
20,8,47,1,0.097
20,8,47,2,0.099
20,8,47,3,0.077
20,8,47,4,0.085
20,9,47,0,0.192
20,9,47,1,0.147
20,9,47,2,0.144
20,9,47,3,0.137
20,9,47,4,0.142
20,10,47,0,0.098
20,10,47,1,0.095
20,10,47,2,0.102
20,10,47,3,0.089
20,10,47,4,0.093
20,11,47,0,0.159
20,11,47,1,0.2
20,11,47,2,0.18
20,11,47,3,0.194
20,11,47,4,0.134
20,12,47,0,0.122
20,12,47,1,0.129
20,12,47,2,0.122
20,12,47,3,0.104
20,12,47,4,0.115
20,13,47,0,0.098
20,13,47,1,0.101
20,13,47,2,0.101
20,13,47,3,0.092
20,13,47,4,0.082
20,14,47,0,0.15
20,14,47,1,0.161
20,14,47,2,0.168
20,14,47,3,0.164
20,14,47,4,0.167
20,15,47,0,0.176
20,15,47,1,0.168
20,15,47,2,0.18
20,15,47,3,0.168
20,15,47,4,0.167
20,16,47,0,0.1
20,16,47,1,0.094
20,16,47,2,0.1
20,16,47,3,0.089
20,16,47,4,0.087
20,17,47,0,0.099
20,17,47,1,0.094
20,17,47,2,0.111
20,17,47,3,0.091
20,17,47,4,0.083
20,18,47,0,0.129
20,18,47,1,0.141
20,18,47,2,0.137
20,18,47,3,0.125
20,18,47,4,0.126
20,19,47,0,0.115
20,19,47,1,0.122
20,19,47,2,0.121
20,19,47,3,0.135
20,19,47,4,0.103
20,20,47,0,0.135
20,20,47,1,0.142
20,20,47,2,0.139
20,20,47,3,0.126
20,20,47,4,0.127
20,21,47,0,0.151
20,21,47,1,0.123
20,21,47,2,0.131
20,21,47,3,0.131
20,21,47,4,0.132
20,22,47,0,0.135
20,22,47,1,0.125
20,22,47,2,0.131
20,22,47,3,0.129
20,22,47,4,0.114
20,23,47,0,0.151
20,23,47,1,0.152
20,23,47,2,0.149
20,23,47,3,0.149
20,23,47,4,0.127
20,24,47,0,0.158
20,24,47,1,0.167
20,24,47,2,0.155
20,24,47,3,0.169
20,24,47,4,0.122
20,25,47,0,0.14
20,25,47,1,0.141
20,25,47,2,0.145
20,25,47,3,0.137
20,25,47,4,0.119
20,26,47,0,0.096
20,26,47,1,0.116
20,26,47,2,0.112
20,26,47,3,0.132
20,26,47,4,0.09
20,27,47,0,0.149
20,27,47,1,0.157
20,27,47,2,0.142
20,27,47,3,0.159
20,27,47,4,0.128
20,28,47,0,0.165
20,28,47,1,0.174
20,28,47,2,0.149
20,28,47,3,0.15
20,28,47,4,0.149
20,29,47,0,0.095
20,29,47,1,0.091
20,29,47,2,0.096
20,29,47,3,0.087
20,29,47,4,0.079
20,30,47,0,0.148
20,30,47,1,0.144
20,30,47,2,0.149
20,30,47,3,0.124
20,30,47,4,0.123
20,31,47,0,0.207
20,31,47,1,0.231
20,31,47,2,0.186
20,31,47,3,0.227
20,31,47,4,0.177
21,0,47,0,0.164
21,0,47,1,0.148
21,0,47,2,0.155
21,0,47,3,0.13
21,0,47,4,0.131
21,1,47,0,0.099
21,1,47,1,0.106
21,1,47,2,0.105
21,1,47,3,0.099
21,1,47,4,0.083
21,2,47,0,0.166
21,2,47,1,0.158
21,2,47,2,0.144
21,2,47,3,0.144
21,2,47,4,0.133
21,3,47,0,0.126
21,3,47,1,0.122
21,3,47,2,0.13
21,3,47,3,0.114
21,3,47,4,0.112
21,4,47,0,0.182
21,4,47,1,0.16
21,4,47,2,0.15
21,4,47,3,0.165
21,4,47,4,0.168
21,5,47,0,0.159
21,5,47,1,0.157
21,5,47,2,0.145
21,5,47,3,0.142
21,5,47,4,0.119
21,6,47,0,0.097
21,6,47,1,0.1
21,6,47,2,0.099
21,6,47,3,0.092
21,6,47,4,0.078
21,7,47,0,0.171
21,7,47,1,0.166
21,7,47,2,0.167
21,7,47,3,0.164
21,7,47,4,0.154
21,8,47,0,0.147
21,8,47,1,0.183
21,8,47,2,0.152
21,8,47,3,0.151
21,8,47,4,0.143
21,9,47,0,0.131
21,9,47,1,0.124
21,9,47,2,0.145
21,9,47,3,0.136
21,9,47,4,0.126
21,10,47,0,0.14
21,10,47,1,0.164
21,10,47,2,0.132
21,10,47,3,0.16
21,10,47,4,0.13
21,11,47,0,0.156
21,11,47,1,0.171
21,11,47,2,0.16
21,11,47,3,0.163
21,11,47,4,0.141
21,12,47,0,0.157
21,12,47,1,0.172
21,12,47,2,0.146
21,12,47,3,0.158
21,12,47,4,0.139
21,13,47,0,0.156
21,13,47,1,0.174
21,13,47,2,0.151
21,13,47,3,0.149
21,13,47,4,0.147
21,14,47,0,0.123
21,14,47,1,0.133
21,14,47,2,0.144
21,14,47,3,0.133
21,14,47,4,0.127
21,15,47,0,0.121
21,15,47,1,0.123
21,15,47,2,0.134
21,15,47,3,0.131
21,15,47,4,0.118
21,16,47,0,0.153
21,16,47,1,0.155
21,16,47,2,0.165
21,16,47,3,0.154
21,16,47,4,0.15
21,17,47,0,0.132
21,17,47,1,0.14
21,17,47,2,0.133
21,17,47,3,0.128
21,17,47,4,0.123
21,18,47,0,0.158
21,18,47,1,0.158
21,18,47,2,0.155
21,18,47,3,0.127
21,18,47,4,0.113
21,19,47,0,0.129
21,19,47,1,0.123
21,19,47,2,0.131
21,19,47,3,0.131
21,19,47,4,0.133
21,20,47,0,0.141
21,20,47,1,0.157
21,20,47,2,0.151
21,20,47,3,0.156
21,20,47,4,0.135
21,21,47,0,0.152
21,21,47,1,0.149
21,21,47,2,0.129
21,21,47,3,0.14
21,21,47,4,0.116
21,22,47,0,0.138
21,22,47,1,0.157
21,22,47,2,0.145
21,22,47,3,0.152
21,22,47,4,0.135
21,23,47,0,0.105
21,23,47,1,0.099
21,23,47,2,0.122
21,23,47,3,0.101
21,23,47,4,0.096
21,24,47,0,0.134
21,24,47,1,0.149
21,24,47,2,0.139
21,24,47,3,0.142
21,24,47,4,0.12
21,25,47,0,0.102
21,25,47,1,0.093
21,25,47,2,0.1
21,25,47,3,0.086
21,25,47,4,0.076
21,26,47,0,0.174
21,26,47,1,0.181
21,26,47,2,0.164
21,26,47,3,0.177
21,26,47,4,0.136
21,27,47,0,0.186
21,27,47,1,0.174
21,27,47,2,0.155
21,27,47,3,0.173
21,27,47,4,0.111
21,28,47,0,0.213
21,28,47,1,0.234
21,28,47,2,0.204
21,28,47,3,0.249
21,28,47,4,0.208
21,29,47,0,0.149
21,29,47,1,0.118
21,29,47,2,0.118
21,29,47,3,0.116
21,29,47,4,0.096
21,30,47,0,0.158
21,30,47,1,0.164
21,30,47,2,0.144
21,30,47,3,0.155
21,30,47,4,0.162
21,31,47,0,0.148
21,31,47,1,0.166
21,31,47,2,0.136
21,31,47,3,0.158
21,31,47,4,0.119
0,0,48,0,0.106
0,0,48,1,0.101
0,0,48,2,0.101
0,0,48,3,0.092
